id;jhi_date;adresse;note
1;2019-05-06T21:41:06;RSS;mint green e-business EXE
2;2019-05-07T05:06:08;Fresh granular Direct;Profit-focused
3;2019-05-07T02:38:10;copying;ability Hat Iraq
4;2019-05-07T01:15:02;Bahamian Dollar;24/7
5;2019-05-06T14:15:25;conglomeration;Oklahoma facilitate
6;2019-05-07T11:19:45;Versatile Exclusive Moroccan Dirham;capability zero tolerance Computers
7;2019-05-06T22:15:26;Berkshire Small Plastic Pants Investor;Canadian Dollar
8;2019-05-07T00:08:39;Way Dominican Republic;Bulgarian Lev navigate
9;2019-05-07T07:11:00;transmitter;Point Orchestrator
10;2019-05-07T03:18:53;bypassing optical;installation
